,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,category,WiFi,RestaurantsTakeOut,Alcohol,BikeParking,RestaurantsReservations,OutdoorSeating,RestaurantsDelivery,RestaurantsPriceRange2,RestaurantsAttire,NoiseLevel,HasTV,RestaurantsGoodForGroups,GoodForKids
0,C9oCPomVP0mtKa8z99E3gg,Bakery Gateau,"865 York Mills Road, Unit 1",Toronto,ON,M3B 1Y6,43.754093100000006,-79.3495479,4.5,8,"Bakeries, Food",,True,,True,,,False,2.0,,,,,
1,NDuUMJfrWk52RA-H-OtrpA,Bolt Fresh Bar,1170 Queen Street W,Toronto,ON,M6J 1J5,43.6428886,-79.4254291,3.0,57,"Juice Bars & Smoothies, Food, Restaurants, Fast Food, Vegan",u'no',True,,True,,,,2.0,,,,,
2,SP_YXIEwkFPPl_9anCYmpQ,The Steady Cafe & Bar,1051 Bloor Street W,Toronto,ON,M6H 1M4,43.6604937,-79.432099,3.5,29,"Restaurants, Nightlife, Breakfast & Brunch, Vegan, Food, Tapas Bars, Bars, Southern, Coffee & Tea",u'free',False,u'full_bar',True,True,False,False,2.0,u'casual',u'average',False,True,False
3,mlHC2XcU9Bows6cnYEmRgg,Mad Crush Wine Bar,582 College Street,Toronto,ON,M6G 1B3,43.6554201,-79.41335179999999,4.0,9,"Restaurants, Breakfast & Brunch, Bars, Modern European, Nightlife, Wine Bars",u'free',True,u'full_bar',True,True,True,False,3.0,'dressy',,False,True,False
4,RFbMVekR8lU9tPJ8sWrwHg,Tavolino,619 Mount Pleasant Road,Toronto,ON,M4S 2M5,43.7042291,-79.38822990000001,4.0,18,"Italian, Restaurants",,,u'full_bar',True,True,False,,2.0,u'casual',u'quiet',False,True,False
5,NPHZkn1e-tSJAbo8Zm9rYw,Burrito Bandidos,1614 Queen Street E,Toronto,ON,M4L 1G4,43.666181200000004,-79.3164682,3.5,43,"Tex-Mex, Mexican, Restaurants",u'no',True,u'none',True,False,False,False,2.0,u'casual',u'average',False,True,True
6,jtlAfuINMCYVFpjwMgy2jw,Medium Rare,5241 Dundas Street W,Toronto,ON,M9B 1A5,43.63887929999999,-79.53763190000001,4.0,22,"Grocery, Restaurants, Steakhouses, Butcher, Food",,True,,False,,,,3.0,u'casual',u'quiet',,,
7,gyFYZV4b_9TxG1ulQNi0Ig,Paramount Fine Foods,165 East Liberty Street,Toronto,ON,M6K 3K4,43.638442299999994,-79.4172366,2.0,40,"Middle Eastern, Restaurants, Salad, Breakfast & Brunch",u'free',True,u'none',True,True,True,True,2.0,'casual',u'average',True,True,True
8,OezwOIJ0_62Mj8MLdkGRAw,Aroma Espresso Bar,105 The Pond Road,Toronto,ON,M3J 2S5,43.7698543376,-79.50193288279999,3.5,6,"Sandwiches, Cafes, Food, Restaurants, Coffee & Tea",'free',True,,,,True,,,,,,True,
9,aql8K6zVoJDGRJ3P-IgtpQ,Ume Fashion Sushi,1732 Kingston Road,Toronto,ON,M1N 1S8,43.6927912,-79.26262990000001,4.5,25,"Sushi Bars, Restaurants",u'no',True,'beer_and_wine',True,True,False,True,2.0,'casual','quiet',False,True,True
10,Kxbn0XLcCgQqmkdIkhuOeQ,Not Your Mother,"1346 Queen Street, Unit 2",Toronto,ON,M6K 1L4,43.6417075708,-79.432192035,4.0,8,"Desserts, Ice Cream & Frozen Yogurt, Food, Restaurants, Vegan",,True,,,,,,1.0,,,,,
11,1HRSElW1HgBiTtSNrhjMeA,Fine Asian Bowl,1634 Bayview Ave,Toronto,ON,M4G 3B7,43.706691299999996,-79.37580279999999,2.0,4,"Restaurants, Vietnamese",,,,,,,,,,,,,
12,c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,322 Adelaide Street W,Toronto,ON,M5V 1R1,43.647585299999996,-79.3920316,4.5,332,"Soup, Restaurants, Sandwiches",u'free',True,u'beer_and_wine',True,False,True,True,2.0,u'casual',u'average',False,True,True
13,kGal388xLnmCwI4mw2TG8Q,J-C Foodland,270 Wellington Street W,Toronto,ON,M5V 3P5,43.644895,-79.391717,3.0,7,"Food, Grocery, Convenience Stores",,False,,True,,,,2.0,,,,,
14,SvUvVEr9cTjS-PJQ9MuckQ,Caffeine,1448 Lawrence Avenue E,Toronto,ON,M4A 2S6,43.742554999999996,-79.314252,4.5,30,"Restaurants, Breakfast & Brunch, Sandwiches, Food, Coffee & Tea",u'free',True,u'none',True,False,False,False,1.0,u'casual',u'average',False,True,True
15,RZ48zp2J2SWUy-lZ4PHZrw,Sanagan's Meat Locker,1513 Gerrard Street E,Toronto,ON,M4L 2A4,43.672721100000004,-79.3195719,5.0,3,"Meat Shops, Food, Specialty Food",,True,,,,,,2.0,,,,,
16,IgQ8lSds3AgLFQsYsshUHQ,Gourmet Gringos,1921 Queen Street E,Toronto,ON,M4L 1H3,43.669043862200006,-79.3044535463,3.5,29,"Restaurants, Mexican, Ethnic Food, Specialty Food, Food",'no',True,'none',False,False,False,True,2.0,'casual',u'average',True,True,True
17,SJBzyJDCR_f6dx5tpYAABA,Kibo Sushi House,2945 Lake Shore Boulevard,Toronto,ON,M8V 1J5,43.600522600000005,-79.5055159,4.0,15,"Sushi Bars, Japanese, Restaurants",'no',True,'none',False,True,False,True,2.0,,'average',True,,
18,111d13yLgIdqvpZekgVnbQ,Pallucci,523 Mount Pleasant Road,Toronto,ON,M4S 2M4,43.7021058,-79.38747109999998,3.0,5,"Restaurants, Caterers, Italian, Event Planning & Services",u'no',,u'full_bar',,True,True,False,,u'casual',u'quiet',,True,False
19,6aOnrzf15RMqFNOQ-_ElIA,COCO Crafted Organic Chocolate,365 Jane Street,Toronto,ON,M6S 2E2,43.657599499999996,-79.48768340000001,5.0,15,"Chocolatiers & Shops, Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Food",,True,,True,,,,2.0,,,,,
20,rVBPQdeayMYht4Uv_FOLHg,Gourmet Burger Company,843 Kipling Avenue,Toronto,ON,M8Z 5G9,43.6332914,-79.5317683,3.0,13,"Burgers, Food, Restaurants",'no',True,u'none',,False,False,False,2.0,u'casual',u'average',False,True,True
21,NX88XnZQOVbaSVj1exilLA,Sacred Seed,624 Yonge Street,Toronto,ON,M4Y 1Z8,43.666219399999996,-79.38525390000001,2.0,3,"Specialty Food, Food, Herbs & Spices",,,,,,,,4.0,,,,,
22,AXq8uPxqBP-c5PCrnba-4A,Mexico Lindo,971 O'Connor Drive,Toronto,ON,M4K 1T1,43.7083547605,-79.3101267401,4.5,6,"Mexican, Restaurants",,True,,,False,,,,u'casual',,,True,True
23,iyPtSR0s6EkvaQFbdJ_jVA,Pearl King,291 King Street W,Toronto,ON,M5V 1J5,43.6464782,-79.3900189,2.5,72,"Dim Sum, Chinese, Tapas/Small Plates, Restaurants",u'free',True,'full_bar',True,True,True,False,2.0,'casual','average',True,True,True
24,Tuu_B0QGo7SQUuXW_Nd4hg,Pizza Pan,1822 Saint Clair Avenue W,Toronto,ON,M6N 1J5,43.673828799999995,-79.4627354,3.0,9,"Middle Eastern, Pizza, Sandwiches, Chicken Wings, Restaurants",u'no',True,,,False,,True,2.0,,u'quiet',,False,True
25,Ykn6eHLY8vPHuUH7UQrvxw,La Barista Café,22 St Clair Avenue E,Toronto,ON,M4T,43.688486,-79.393215,3.0,4,"Food, Bakeries, Coffee & Tea",,True,,,,False,False,1.0,,,,,
26,9MFcLXNi4pbqHsdrH9giZw,LaPaz Batchoy Toronto,360 Wilson Avenue,Toronto,ON,M3H 1S9,43.7367949,-79.43851509999999,3.5,7,"Restaurants, Filipino, Soup, Fast Food",,True,u'none',False,,False,True,2.0,u'casual',u'quiet',,True,True
27,i_0rSAui4zaz4ydVaOZ6bQ,Marcello's Market & Deli,"40 King Street W, Scotia plaza Food Court",Toronto,ON,M5H 1B6,43.649321,-79.378413,3.5,7,"Food, Grocery, Delis, Buffets, Event Planning & Services, Breakfast & Brunch, Restaurants, Caterers",u'no',True,u'none',True,False,False,True,2.0,,,True,,
28,L6R2Op88NkoG1EGxlVvdRQ,Bread & Roses Bakery Cafe,2901 Bayview Avenue,Toronto,ON,M2K 2S3,43.7690784933,-79.3854800239,3.0,23,"Food, Coffee & Tea, Bakeries, Restaurants, Cafes",'free',True,u'none',True,False,False,False,2.0,u'casual',u'average',False,False,True
29,EVC1vn1KQ2uETnTbDWXc5w,Cadillac Jenkins,930 Queen Street W,Toronto,ON,M6J 1G6,43.645041600000006,-79.4161208,4.5,13,"Caribbean, Tapas/Small Plates, Restaurants",,,u'full_bar',,False,,,,'casual',,,True,False
30,43PeF0ERpSIiEbXM6f9N2g,Megas Restaurant,402 Danforth Avenue,Toronto,ON,M4K 1P3,43.6777565,-79.3515772,2.5,47,"Restaurants, Greek, Mediterranean, Caterers, Event Planning & Services",u'free',True,u'full_bar',True,True,True,True,2.0,u'casual',u'average',True,True,True
31,h_ypoQ2rmwX8UGSmohsGiQ,Maman,"1 First Canadian Place, Food Terrace, Upper Level",Toronto,ON,M5X 1C1,43.6489768,-79.382409,3.5,122,"Event Planning & Services, American (Traditional), Bakeries, Cocktail Bars, Caterers, Bars, Coffee & Tea, Food, French, Restaurants, Nightlife",u'free',True,u'full_bar',False,False,True,True,2.0,'casual',u'average',False,True,True
32,kExmc2lS8BhFFlh9sjvuSA,The Standard Pizza & Pasta Bar,667 College Street,Toronto,ON,M6G 1B9,43.6549406,-79.41683979999999,3.0,50,"Restaurants, Pizza, Italian",'free',True,u'full_bar',True,True,True,False,2.0,u'casual',u'average',True,True,True
33,iag4htR8F7FmE9zpz7_GMw,Levetto,940 College Street,Toronto,ON,M6H 1A5,43.6536812,-79.42659040000001,4.0,60,"Salad, Italian, Restaurants, Pizza",u'free',True,u'beer_and_wine',True,False,False,True,2.0,'casual',u'average',False,True,True
34,-jdNqqzF1Dbve04oEd4jww,OK OK Diner,1128 Queen Street E,Toronto,ON,M4M 1K8,43.6623207,-79.3351048,3.0,62,"Restaurants, Breakfast & Brunch, Diners",u'no',True,u'beer_and_wine',True,False,True,False,2.0,u'casual',u'average',False,False,True
